,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.3.2,CVC3,CVC4,Yices,Z3-4.4.1,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,best,worst,best time,best result,worst time,worst result,rf time,rf result,rf no time,rf no result,rand time
vacid_0_red_black_trees:RedBlackTree:memt_color,Valid,0.106006897,Valid,0.102160011143,Valid,0.0804681043247,Valid,0.0912901348571,Valid,0.067275556,Valid,0.0941973251864,Valid,0.0936645023433,0.0,0.0,3.8,0.0,5.0,5.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,4.0,memt_color,0.0,0.0,1.0,0.0,0.0,14.0,5.0,0.0,1.0,0.0,0.0,20.0,RedBlackTree,0.0,14.0,Valid,3.9072400896,0.0,0.0,0.0941973251864,0.0804681043247,0.0912901348571,0.067275556,0.0936645023433,3.9072400896,0.102160011143,0.106006897,3.86699879659,3.698277429,9.04973696084,9.43157542857,11.3608797573,6.51719310572,6.55064508968,6.63013269871,vacid_0_red_black_trees:RedBlackTree:memt_color,AazZv34y,y34ZzAav,vaAzZ43y,0.067275556,Valid,3.9072400896,Valid,0.102160011143,Valid,0.102160011143,Valid,0.567787827557
vacid_0_red_black_trees:RedBlackTree:rbtree_Leaf,Valid,0.116330056,Valid,0.11796891403,Valid,0.0916187672727,Valid,0.103547963042,Unknown,0.09021496039,Valid,0.098198801129,Valid,0.105196440487,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,0.0,2.0,rbtree_Leaf,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,RedBlackTree,0.0,0.0,Valid,0.0868344689818,0.0,1.0,0.098198801129,0.0916187672727,0.103547963042,10.0902149604,0.105196440487,0.0868344689818,0.11796891403,0.116330056,2.98924736663,2.91687376618,0.659441888311,1.80660754852,1.97825701126,1.16782704152,0.781546924296,1.67773209928,vacid_0_red_black_trees:RedBlackTree:rbtree_Leaf,3Zzv4yAa,v3z4ZaAy,yAaZ4z3v,0.0868344689818,Valid,0.20818387442,Valid,0.11796891403,Valid,0.0916187672727,Valid,0.114090500183
vacid_0_red_black_trees:RedBlackTree:rbtree_Node1,Valid,0.119419963182,Valid,0.1235252574,Valid,0.0953376180143,Valid,0.10643732421,Valid,0.0875457428784,Valid,0.0998633047766,Valid,0.100866016318,0.0,0.0,1.6,0.0,4.0,5.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,5.0,rbtree_Node1,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,9.0,RedBlackTree,0.0,2.0,Valid,0.0933765407143,0.0,3.0,0.0998633047766,0.0953376180143,0.10643732421,0.0875457428784,0.100866016318,0.0933765407143,0.1235252574,0.119419963182,10.4157689027,9.32386119985,7.71493089024,1.16255813403,8.81240779535,10.1732910567,4.26193902502,8.14346077452,vacid_0_red_black_trees:RedBlackTree:rbtree_Node1,4Z3vyAza,yv3zZ4aA,Aa4Zz3vy,0.0875457428784,Valid,0.1235252574,Valid,0.1235252574,Valid,0.10643732421,Valid,0.103296470937
vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree,Valid,0.127112596597,Valid,0.124226909733,Failure,5.7087314348,Valid,0.1090143135,Timeout,10.0846166398,Valid,0.162655820176,Valid,0.168080023662,0.0,0.0,2.333333,0.0,4.0,3.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,2.0,rbtree_almost_rbtree,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,8.0,RedBlackTree,0.0,4.0,Unknown,0.426444070806,0.0,0.0,0.162655820176,25.7087314348,0.1090143135,30.0846166398,0.168080023662,10.4264440708,0.124226909733,0.127112596597,9.20640410198,8.37350053894,7.68865567385,6.13184558049,8.26130933335,8.12570352208,6.61146890067,9.13460351208,vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree,4Z3zyAva,4AazZv3y,y3vZzaA4,0.1090143135,Valid,16.3878721691,Valid,0.124226909733,Valid,0.1090143135,Valid,2.84151662363
vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree_ex,Valid,0.115775770476,Valid,0.120816033269,Valid,0.0976702899,Valid,0.112426546521,Valid,0.0892578073721,Valid,0.100886493971,Valid,0.105854738,0.0,0.0,3.0,0.0,5.0,3.0,0.0,2.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,2.0,rbtree_almost_rbtree_ex,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,10.0,RedBlackTree,0.0,4.0,Valid,0.08856668866,0.0,0.0,0.100886493971,0.0976702899,0.112426546521,0.0892578073721,0.105854738,0.08856668866,0.120816033269,0.115775770476,5.78832000817,5.56721709223,8.82965862282,9.28615433143,10.7197647571,6.93369855705,7.2153740888,7.4893030343,vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree_ex,AazZv34y,vy3zZ4aA,Aa4Zz3yv,0.08856668866,Valid,0.120816033269,Valid,0.120816033269,Valid,0.120816033269,Valid,0.103906796021
vacid_0_red_black_trees:RedBlackTree:rbtree_left,Valid,0.121133618423,Valid,0.12380201275,Timeout,10.07319123,Valid,0.114861172947,Timeout,10.0754178892,Timeout,10.08580304,Timeout,10.0796556288,0.0,0.0,3.5,0.0,6.0,4.0,0.0,2.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,3.0,rbtree_left,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,3.0,0.0,0.0,15.0,RedBlackTree,0.0,8.0,Failure,2.786926151,0.0,0.0,30.08580304,30.07319123,0.114861172947,30.0754178892,30.0796556288,22.786926151,0.12380201275,0.121133618423,4.3197137016,4.02147814282,9.00198255625,9.1641408146,11.625921077,6.81860391225,6.76622673561,6.75058960995,vacid_0_red_black_trees:RedBlackTree:rbtree_left,AavZz34y,4aAv3yZz,zZy3vAa4,0.114861172947,Valid,43.2247959517,Valid,0.12380201275,Valid,0.12380201275,Valid,10.8951807528
vacid_0_red_black_trees:RedBlackTree:rbtree_right,Valid,0.123490990507,Valid,0.120451007855,Timeout,10.0696396214,Valid,0.117606697159,Timeout,10.0693897678,Timeout,10.090103836,Timeout,10.0822761904,0.0,0.0,3.5,0.0,6.0,4.0,0.0,2.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,3.0,rbtree_right,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,3.0,0.0,0.0,15.0,RedBlackTree,0.0,8.0,Failure,2.798291855,0.0,0.0,30.090103836,30.0696396214,0.117606697159,30.0693897678,30.0822761904,22.798291855,0.120451007855,0.123490990507,4.3197137016,4.02147814282,9.00198255625,9.1641408146,11.625921077,6.81860391225,6.76622673561,6.75058960995,vacid_0_red_black_trees:RedBlackTree:rbtree_right,AavZz34y,4Aavy3Zz,zZ3yvaA4,0.117606697159,Valid,43.2331922611,Valid,0.120451007855,Valid,0.120451007855,Valid,10.8979415495
vacid_0_red_black_trees:RedBlackTree:rotate_left,Valid,0.204405216375,Valid,0.14929963973,Valid,0.0978409310909,Valid,0.126267987184,Valid,0.0875716033034,Valid,0.102996496348,Valid,0.0917279684,0.0,0.0,3.571429,0.0,6.0,7.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,6.0,rotate_left,0.0,0.0,1.0,0.0,0.0,18.0,7.0,0.0,1.0,0.0,0.0,26.0,RedBlackTree,0.0,18.0,Valid,0.0881468797027,0.0,0.0,0.102996496348,0.0978409310909,0.126267987184,0.0875716033034,0.0917279684,0.0881468797027,0.14929963973,0.204405216375,5.6747275988,5.3210746758,9.76192053012,8.81954904504,11.0082836029,7.80182438845,7.38691657354,8.41098872652,vacid_0_red_black_trees:RedBlackTree:rotate_left,AaZzv43y,yvZ3z4Aa,aA4z3Zvy,0.0875716033034,Valid,0.204405216375,Valid,0.14929963973,Valid,0.14929963973,Valid,0.118532090267
vacid_0_red_black_trees:RedBlackTree:rotate_right,Valid,0.22665522371,Valid,0.1607991761,Valid,0.1007365174,Valid,0.110707296444,Valid,0.08802324331,Valid,0.105198669638,Valid,0.10388383242,0.0,0.0,3.571429,0.0,6.0,7.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,6.0,rotate_right,0.0,0.0,1.0,0.0,0.0,18.0,7.0,0.0,1.0,0.0,0.0,26.0,RedBlackTree,0.0,18.0,Valid,0.0883850584198,0.0,0.0,0.105198669638,0.1007365174,0.110707296444,0.08802324331,0.10388383242,0.0883850584198,0.1607991761,0.22665522371,5.6747275988,5.3210746758,9.76192053012,8.81954904504,11.0082836029,7.80182438845,7.38691657354,8.41098872652,vacid_0_red_black_trees:RedBlackTree:rotate_right,AaZzv43y,yv3Zz4Aa,aA4zZ3vy,0.08802324331,Valid,0.22665522371,Valid,0.1607991761,Valid,0.1607991761,Valid,0.12304862718
vacid_0_red_black_trees:Vacid0:WP_parameter create,Valid,0.122953168929,Valid,0.12497318599,Valid,0.11269474448,Valid,0.14383009303,Timeout,10.0836746874,Valid,0.123098704451,Valid,0.128285201423,1.0,0.0,2.0,0.0,7.0,8.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,2.0,7.0,WP_parameter create,0.0,1.0,0.0,0.0,0.0,8.0,9.0,1.0,2.0,0.0,0.0,17.0,Vacid0,0.0,6.0,Valid,0.0967818298444,0.0,2.0,0.123098704451,0.11269474448,0.14383009303,30.0836746874,0.128285201423,0.0967818298444,0.12497318599,0.122953168929,8.27852100128,7.53230335091,8.34695858109,3.62239153558,8.52523036139,8.86272383065,6.85970801813,10.0027109284,vacid_0_red_black_trees:Vacid0:WP_parameter create,4ZAa3yzv,v3azAZ4y,y4ZAza3v,0.0967818298444,Valid,10.2275047804,Valid,0.12497318599,Valid,0.14383009303,Valid,1.38226175423
