,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.3.2,CVC3,CVC4,Yices,Z3-4.4.1,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,best,worst,best time,best result,worst time,worst result,rf time,rf result,rf no time,rf no result,rand time
algo64:Algo64:WP_parameter qs,Valid,0.1417702986,Valid,0.144168389909,Valid,0.155903339425,Valid,0.199770886,Timeout,10.1305134988,Valid,0.1495368046,Valid,0.17330425934,7.0,0.0,2.344828,0.0,14.0,29.0,0.0,0.0,0.0,algo64.mlw,0.0,2.0,17.0,WP_parameter qs,1.0,0.0,2.0,13.0,3.0,37.0,30.0,1.0,2.0,0.0,0.0,69.0,Algo64,0.0,24.0,Valid,0.1196706252,0.0,0.0,0.1495368046,0.155903339425,0.199770886,30.1305134988,0.17330425934,0.1196706252,0.144168389909,0.1417702986,4.10321269756,3.2673695126,2.97306883631,6.26775314125,5.1879846517,2.63717597843,2.59407409751,4.78168348944,algo64:Algo64:WP_parameter qs,Zz3Aavy4,vaAz3Z4y,y4Z3zAav,0.1196706252,Valid,10.3302843848,Valid,0.144168389909,Valid,0.17330425934,Valid,1.42118913065
algo64:Algo64:WP_parameter quicksort,Timeout,11.10764641,Valid,1.24336445806,Unknown,3.37014803291,Timeout,10.2428171616,Timeout,10.1320052184,Timeout,10.1500691392,Timeout,10.1493484674,34.0,0.0,2.306306,0.0,24.0,111.0,0.0,0.0,0.0,algo64.mlw,0.0,7.0,66.0,WP_parameter quicksort,1.0,0.0,7.0,24.0,4.0,138.0,112.0,1.0,7.0,0.0,0.0,257.0,Algo64,0.0,114.0,Timeout,10.1065849062,0.0,0.0,30.1500691392,13.3701480329,30.2428171616,30.1320052184,30.1493484674,30.1065849062,1.24336445806,31.10764641,8.00963363597,6.94179529024,8.05062870861,9.25056092879,9.13261298139,8.63993444281,8.77452795462,10.3848150349,algo64:Algo64:WP_parameter quicksort,Aa3zZy4v,A3vyZz4a,a4zZyv3A,1.24336445806,Valid,66.5019837938,Valid,2.24336445806,Valid,1.24336445806,Valid,33.8726741259
assigning_meanings_to_programs:Division:WP_parameter division,Valid,0.1134789336,Valid,0.123863276735,Valid,0.09831209516,Valid,0.125075420022,Unknown,0.09332588692,Valid,0.141274788732,Valid,0.1206830878,9.0,0.0,2.179487,0.0,16.0,39.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,26.0,WP_parameter division,1.0,0.0,4.0,9.0,0.0,42.0,40.0,1.0,4.0,0.0,0.0,86.0,Division,0.0,33.0,Unknown,0.09441667634,0.0,0.0,0.141274788732,0.09831209516,0.125075420022,10.0933258869,0.1206830878,10.0944166763,0.123863276735,0.1134789336,4.14264963223,2.98451678589,3.29030398886,4.52887757212,6.6616565224,3.65401951031,3.23381870986,6.46265930518,assigning_meanings_to_programs:Division:WP_parameter division,AZ3za4vy,3aZA4zyv,vyz4AZa3,0.09831209516,Valid,0.329017351992,Valid,0.123863276735,Valid,0.123863276735,Valid,0.147268299855
assigning_meanings_to_programs:Sum:WP_parameter sum,Valid,0.1249513174,Valid,0.135712000522,Valid,0.1129616778,Valid,0.172411418174,Valid,0.128384678128,Valid,0.153488968591,Valid,0.185854883902,13.0,0.0,2.215686,0.0,17.0,51.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,34.0,WP_parameter sum,1.0,0.0,4.0,20.0,0.0,58.0,52.0,1.0,4.0,0.0,0.0,114.0,Sum,0.0,38.0,Timeout,10.084403065,0.0,0.0,0.153488968591,0.1129616778,0.172411418174,0.128384678128,0.185854883902,30.084403065,0.135712000522,0.1249513174,5.06158242555,4.26062769959,3.03092036021,5.64576668157,5.11571834105,3.59423679513,3.37378763082,5.39703538998,assigning_meanings_to_programs:Sum:WP_parameter sum,3ZzAayv4,3ayAz4Zv,vZ4zAya3,0.1129616778,Valid,10.2702579489,Valid,0.135712000522,Valid,0.1129616778,Valid,1.40537394663
balance:Puzzle12:WP_parameter solve12,Valid,1.3147664975,Valid,1.3298766946,Failure,7.28657493114,Valid,0.370115346,Valid,0.161969135909,Valid,0.20464282693,Valid,0.219374184105,142.0,0.0,1.836842,26.0,43.0,570.0,0.0,0.0,0.0,balance.mlw,0.0,29.0,385.0,WP_parameter solve12,1.0,0.0,16.0,226.0,26.0,624.0,597.0,27.0,29.0,1.0,0.0,1150.0,Puzzle12,0.0,296.0,Valid,0.17624770069,2.0,100.0,0.20464282693,27.2865749311,0.370115346,0.161969135909,0.219374184105,0.17624770069,1.3298766946,1.3147664975,13.9776165613,12.5469558246,12.418550197,13.8592173779,13.4419354208,11.8390752492,12.1377267135,13.1952185807,balance:Puzzle12:WP_parameter solve12,zZ3Avy4a,yvzZ4aA3,3Aa4Zzvy,0.161969135909,Valid,8.61645162574,Valid,1.20464282693,Valid,0.20464282693,Valid,1.45039220721
balance:Puzzle8:WP_parameter solve3,Valid,0.157569828564,Valid,0.161820824447,Valid,0.1417758008,Timeout,10.1758916292,Valid,0.1202484854,Valid,0.1426334326,Valid,0.17424867724,11.0,0.0,2.019608,2.0,17.0,51.0,0.0,0.0,0.0,balance.mlw,0.0,4.0,35.0,WP_parameter solve3,0.0,0.0,2.0,13.0,3.0,61.0,53.0,2.0,4.0,0.0,0.0,112.0,Puzzle8,0.0,42.0,Timeout,10.11438929,0.0,6.0,0.1426334326,0.1417758008,30.1758916292,0.1202484854,0.17424867724,30.11438929,0.161820824447,0.157569828564,6.11556539255,4.99805207793,5.80184960082,7.72670126911,7.84324163686,5.43493077666,5.62687680277,8.40032123508,balance:Puzzle8:WP_parameter solve3,AzZ3a4yv,y3zaAZv4,4vZAaz3y,0.1202484854,Valid,20.4645295964,Valid,0.161820824447,Valid,0.161820824447,Valid,3.04832773473
balance:Puzzle8:WP_parameter solve8,Valid,0.538552520429,Valid,0.3009765912,Valid,0.367690690833,Valid,0.1882675976,Valid,0.1308563852,Valid,0.163259126238,Valid,0.186368899554,24.0,0.0,2.06383,4.0,29.0,94.0,0.0,0.0,0.0,balance.mlw,0.0,6.0,62.0,WP_parameter solve8,0.0,0.0,3.0,50.0,5.0,116.0,98.0,4.0,6.0,0.0,0.0,210.0,Puzzle8,0.0,55.0,Timeout,10.1261881286,1.0,10.0,0.163259126238,0.367690690833,0.1882675976,0.1308563852,0.186368899554,30.1261881286,0.3009765912,0.538552520429,10.7124311244,7.94855680148,8.98114575583,10.8290107444,10.782991428,9.73384451586,10.4114021813,11.2410942811,balance:Puzzle8:WP_parameter solve8,A3zZay4v,yzZ4A3av,va3A4Zzy,0.1308563852,Valid,10.664740649,Valid,0.3009765912,Valid,0.3009765912,Valid,1.53376948908
binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,Valid,0.757276057808,Valid,0.2237095019,Valid,0.169027771138,Timeout,10.13305623,Unknown,0.114402532042,Valid,0.748093149429,Valid,1.2825707406,11.0,0.0,2.145161,0.0,20.0,62.0,0.0,0.0,0.0,binary_multiplication.mlw,0.0,7.0,41.0,WP_parameter binary_mult,2.0,0.0,7.0,17.0,0.0,63.0,64.0,2.0,7.0,3.0,0.0,134.0,BinaryMultiplication,0.0,46.0,Unknown,0.108327632556,0.0,0.0,0.748093149429,0.169027771138,30.13305623,10.114402532,1.2825707406,10.1083276326,0.2237095019,0.757276057808,6.17613383517,4.99868090971,4.89385183613,7.93193804152,6.54229161314,5.20087882556,5.02979359674,8.01971997276,binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,3AZzay4v,3AzaZvy4,4yvZazA3,0.169027771138,Valid,11.6383571352,Valid,0.2237095019,Valid,0.169027771138,Valid,2.36209984327
bresenham:M:WP_parameter bresenham,Timeout,11.0676253986,Unknown,0.858467579065,Unknown,9.0416894748,Unknown,0.090520135,Unknown,0.060191617,Timeout,10.0736214624,Timeout,10.083126864,11.0,0.0,1.57377,0.0,21.0,122.0,0.0,0.0,0.0,bresenham.mlw,0.0,5.0,104.0,WP_parameter bresenham,1.0,0.0,6.0,37.0,1.0,95.0,123.0,1.0,5.0,0.0,0.0,193.0,M,0.0,28.0,Unknown,0.0576639224,0.0,30.0,30.0736214624,19.0416894748,10.090520135,10.060191617,30.083126864,10.0576639224,10.8584675791,31.0676253986,10.6587829286,8.71706880539,8.61310373545,10.8436935196,9.52227803399,11.6840725978,11.9326621049,11.3122236632,bresenham:M:WP_parameter bresenham,3Aya4vzZ,vy4A3zZa,aZz3A4yv,41.3329064533,Unknown,41.3329064533,Timeout,42.1913740323,Unknown,41.3329064533,Unknown,41.3329064533
bresenham:M:closest,Unknown,0.1142938202,Unknown,0.1013040062,Timeout,10.0967881118,Unknown,0.0911569306857,Unknown,0.0581544408,Timeout,10.072398026,Timeout,10.0735476504,0.0,0.0,1.928571,0.0,8.0,14.0,0.0,0.0,0.0,bresenham.mlw,0.0,2.0,13.0,closest,0.0,0.0,1.0,2.0,0.0,12.0,14.0,0.0,2.0,0.0,0.0,28.0,M,0.0,10.0,Unknown,0.0608577299796,0.0,0.0,30.072398026,30.0967881118,10.0911569307,10.0581544408,30.0735476504,10.06085773,10.1013040062,10.1142938202,5.37581381821,4.93025762971,5.48599791852,6.16228557784,8.73625853692,7.90564518064,7.55452755732,7.32039078979,bresenham:M:closest,Aa34vZzy,yv4AazZ3,3ZzaA4vy,30.6685007161,Unknown,30.6685007161,Timeout,30.7698047223,Unknown,30.6685007161,Unknown,30.6685007161
coincidence_count:CoincidenceCount:WP_parameter coincidence_count,Timeout,11.1148179528,Timeout,10.1366336926,Timeout,10.1274726576,Timeout,10.9729206656,Timeout,10.144977455,Timeout,10.1705519766,Timeout,10.1677239066,40.0,0.0,1.952381,0.0,32.0,210.0,0.0,0.0,0.0,coincidence_count.mlw,0.0,7.0,160.0,WP_parameter coincidence_count,4.0,0.0,7.0,34.0,2.0,190.0,214.0,4.0,7.0,1.0,0.0,411.0,CoincidenceCount,0.0,156.0,Timeout,10.1153559096,0.0,0.0,30.1705519766,30.1274726576,30.9729206656,30.144977455,30.1677239066,30.1153559096,30.1366336926,31.1148179528,11.0099198703,8.7675939964,10.6443879638,10.9868633988,10.3904730937,9.60385671605,9.63095520465,11.4818804575,coincidence_count:CoincidenceCount:WP_parameter coincidence_count,AzZy34av,v3AyZz4a,a4zZyA3v,82.9504542164,Timeout,82.9504542164,Timeout,83.9504542164,Timeout,82.9504542164,Timeout,82.9504542164
coincidence_count:CoincidenceCount:drop_left,Valid,1.715279489,Valid,0.39030722875,Timeout,10.1157230196,Timeout,10.2046373894,Unknown,3.4744544762,Timeout,10.1576843438,Timeout,10.14933989,1.0,0.0,2.0,0.0,7.0,11.0,0.0,0.0,0.0,coincidence_count.mlw,0.0,1.0,9.0,drop_left,0.0,0.0,1.0,2.0,0.0,11.0,11.0,0.0,1.0,0.0,0.0,23.0,CoincidenceCount,0.0,9.0,Timeout,10.1037543566,0.0,0.0,30.1576843438,30.1157230196,30.2046373894,13.4744544762,30.14933989,30.1037543566,0.39030722875,1.715279489,5.97608280672,5.56927889395,5.18824469707,5.84730555487,8.8938237541,9.40679466736,9.68277590289,7.34629068538,coincidence_count:CoincidenceCount:drop_left,3A4avyzZ,Aayv3Zz4,4zZ3vyaA,0.39030722875,Valid,55.9208729646,Valid,0.39030722875,Valid,10.5060302484,Valid,19.1213245174
coincidence_count:CoincidenceCount:not_mem_inter_l,Valid,1.499697942,Valid,0.340782697122,Valid,0.399686826108,Valid,0.280584835359,Unknown,3.74135713329,Timeout,10.163610409,Timeout,10.1554138796,1.0,0.0,1.933333,0.0,8.0,15.0,0.0,0.0,0.0,coincidence_count.mlw,0.0,1.0,11.0,not_mem_inter_l,0.0,0.0,2.0,2.0,0.0,14.0,15.0,0.0,1.0,1.0,0.0,30.0,CoincidenceCount,0.0,12.0,Timeout,10.1133186036,0.0,0.0,30.163610409,0.399686826108,0.280584835359,13.7413571333,30.1554138796,30.1133186036,0.340782697122,1.499697942,7.14732650887,6.49508427597,6.7552225359,8.19567267145,9.73848484075,9.86722457429,9.42105353058,7.89672492817,coincidence_count:CoincidenceCount:not_mem_inter_l,A3av4Zyz,4A3ayvZz,zZvya3A4,0.280584835359,Valid,35.6733979675,Valid,0.340782697122,Valid,0.340782697122,Valid,7.46492808025
coincidence_count:CoincidenceCount:not_mem_inter_r,Valid,1.5406932768,Valid,0.334315156143,Valid,0.391827212882,Valid,0.274825327545,Unknown,3.7750570662,Timeout,10.1540815342,Timeout,10.144258963,1.0,0.0,1.933333,0.0,8.0,15.0,0.0,0.0,0.0,coincidence_count.mlw,0.0,1.0,11.0,not_mem_inter_r,0.0,0.0,2.0,2.0,0.0,14.0,15.0,0.0,1.0,1.0,0.0,30.0,CoincidenceCount,0.0,12.0,Timeout,10.101846845,0.0,0.0,30.1540815342,0.391827212882,0.274825327545,13.7750570662,30.144258963,30.101846845,0.334315156143,1.5406932768,7.14732650887,6.49508427597,6.7552225359,8.19567267145,9.73848484075,9.86722457429,9.42105353058,7.89672492817,coincidence_count:CoincidenceCount:not_mem_inter_r,A3av4Zyz,4A3ayvZz,zZvya3A4,0.274825327545,Valid,35.7159376852,Valid,0.334315156143,Valid,0.334315156143,Valid,7.47046412502
cursor:IntArrayCursor:WP_parameter create,Valid,0.15074125836,Valid,0.151605868273,Valid,0.174823940704,Valid,0.179380702846,Valid,0.148179251462,Valid,0.1685609418,Valid,0.166482982357,0.0,0.0,2.125,0.0,7.0,8.0,0.0,0.0,0.0,cursor.mlw,0.0,1.0,6.0,WP_parameter create,0.0,0.0,1.0,3.0,1.0,10.0,8.0,0.0,1.0,0.0,0.0,18.0,IntArrayCursor,0.0,6.0,Valid,0.13556041362,0.0,1.0,0.1685609418,0.174823940704,0.179380702846,0.148179251462,0.166482982357,0.13556041362,0.151605868273,0.15074125836,3.446735706,3.3932879546,3.72303191245,5.37467291551,7.85289461793,6.01240388236,5.59230380638,6.75531785689,cursor:IntArrayCursor:WP_parameter create,Aa34Zzvy,vyaAZz34,43zZAayv,0.13556041362,Valid,0.179380702846,Valid,0.151605868273,Valid,0.151605868273,Valid,0.159416919928
cursor:IntArrayCursor:WP_parameter has_next,Unknown,0.167640710182,Unknown,0.321806656065,Timeout,10.173802068,Valid,0.180384163844,Timeout,10.1276511838,Valid,0.16406051476,Valid,0.161685108743,1.0,0.0,2.1,0.0,6.0,10.0,0.0,0.0,0.0,cursor.mlw,0.0,1.0,7.0,WP_parameter has_next,0.0,1.0,1.0,1.0,0.0,11.0,11.0,1.0,1.0,1.0,0.0,22.0,IntArrayCursor,0.0,9.0,Timeout,10.1247139242,0.0,1.0,0.16406051476,30.173802068,0.180384163844,30.1276511838,0.161685108743,30.1247139242,10.3218066561,10.1676407102,5.06123150398,4.82200946578,4.99463682832,3.92987571561,7.11166552264,4.94945030007,4.08609374877,6.46570069911,cursor:IntArrayCursor:WP_parameter has_next,4ZAz3avy,Zz4aAvy3,3yvAa4zZ,0.161685108743,Valid,31.0959987061,Valid,0.502190819909,Valid,0.180384163844,Valid,7.89761356468
cursor:IntArrayCursor:WP_parameter next,Unknown,0.216911671906,Valid,0.246775392122,Valid,0.195958455047,Timeout,10.1979957792,Unknown,7.2272241682,Failure,8.140191337,Failure,8.29477946285,7.0,0.0,2.081081,2.0,18.0,37.0,0.0,0.0,2.0,cursor.mlw,0.0,4.0,24.0,WP_parameter next,0.0,0.0,4.0,3.0,1.0,44.0,39.0,2.0,4.0,1.0,0.0,84.0,IntArrayCursor,0.0,36.0,Timeout,10.1261029798,0.0,3.0,28.140191337,0.195958455047,30.1979957792,17.2272241682,28.2947794629,30.1261029798,0.246775392122,10.2169116719,6.02907437931,4.98304895331,6.8254801719,7.49623357706,8.3331835512,9.36408250309,9.24658675805,10.8343422657,cursor:IntArrayCursor:WP_parameter next,Aa34yZzv,3AayzZv4,4vZzyaA3,0.195958455047,Valid,44.4499807911,Valid,0.246775392122,Valid,0.246775392122,Valid,14.9557687232
cursor:IntArrayCursor:WP_parameter reverse_cons,Valid,0.313617198185,Valid,0.54038478864,Valid,0.198475564,Timeout,10.455537809,Valid,0.1702550301,Valid,0.1747446182,Valid,0.1677246122,4.0,0.0,2.093023,0.0,13.0,43.0,0.0,0.0,0.0,cursor.mlw,0.0,1.0,35.0,WP_parameter reverse_cons,1.0,0.0,2.0,6.0,2.0,46.0,44.0,1.0,1.0,0.0,0.0,91.0,IntArrayCursor,0.0,40.0,Timeout,10.128648722,0.0,0.0,0.1747446182,0.198475564,30.455537809,0.1702550301,0.1677246122,30.128648722,0.54038478864,0.313617198185,6.61218561042,5.53357311227,3.93643195528,6.69167993838,7.11564267865,5.11965193938,4.47954405299,7.30034891595,cursor:IntArrayCursor:WP_parameter reverse_cons,3ZzAa4yv,Zyz3aAv4,4vAa3zyZ,0.1677246122,Valid,21.1245713196,Valid,0.54038478864,Valid,0.198475564,Valid,3.20146504441
cursor:IntListCursor:WP_parameter create,Valid,0.153419078878,Valid,0.160719895625,Valid,0.1426910613,Valid,0.1641082329,Valid,0.13697393462,Valid,0.159770151872,Valid,0.157771060726,0.0,0.0,1.666667,0.0,4.0,3.0,0.0,0.0,0.0,cursor.mlw,0.0,1.0,3.0,WP_parameter create,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,IntListCursor,0.0,2.0,Valid,0.131404292764,0.0,1.0,0.159770151872,0.1426910613,0.1641082329,0.13697393462,0.157771060726,0.131404292764,0.160719895625,0.153419078878,6.91467786042,6.08009595009,5.17757139134,4.93523204899,8.00340674135,8.25618131109,5.2688736298,7.43949524968,cursor:IntListCursor:WP_parameter create,43ZAavyz,vy3aZzA4,4AzZa3yv,0.131404292764,Valid,0.1641082329,Valid,0.160719895625,Valid,0.1641082329,Valid,0.150857213586
cursor:IntListCursor:WP_parameter has_next,Valid,0.146107732538,Valid,0.156209215638,Valid,0.129619729932,Valid,0.153873661811,Valid,0.12622134487,Valid,0.149583561978,Valid,0.145351250955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,cursor.mlw,0.0,0.0,0.0,WP_parameter has_next,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,IntListCursor,1.0,0.0,Valid,0.128680055905,0.0,0.0,0.149583561978,0.129619729932,0.153873661811,0.12622134487,0.145351250955,0.128680055905,0.156209215638,0.146107732538,0.125562909098,0.126624299581,0.102321889638,0.275533713793,0.206176013242,0.270720351469,0.272166248679,0.203702251023,cursor:IntListCursor:WP_parameter has_next,3aAvyzZ4,yv3Zaz4A,A4zaZ3vy,0.12622134487,Valid,0.156209215638,Valid,0.156209215638,Valid,0.129619729932,Valid,0.141955819203
cursor:IntListCursor:WP_parameter next,Valid,0.154725497305,Valid,0.158763429415,Valid,0.160632107511,Valid,0.182257215906,Valid,0.143308410984,Valid,0.618739614077,Valid,0.583572288882,4.0,0.0,2.0,2.0,14.0,25.0,0.0,0.0,2.0,cursor.mlw,0.0,3.0,17.0,WP_parameter next,0.0,0.0,3.0,0.0,0.0,30.0,27.0,2.0,3.0,1.0,0.0,57.0,IntListCursor,0.0,25.0,Timeout,10.1344835048,0.0,3.0,0.618739614077,0.160632107511,0.182257215906,0.143308410984,0.583572288882,30.1344835048,0.158763429415,0.154725497305,4.37720532078,3.52693083269,4.50541803475,5.30247696049,5.15159030241,11.7177951004,11.7077183561,12.7348452814,cursor:IntListCursor:WP_parameter next,Aa3y4Zzv,yaA34Zzv,vzZ43Aay,0.143308410984,Valid,10.7532231189,Valid,0.158763429415,Valid,0.158763429415,Valid,1.55281023297
cursor:TestArrayCursor:WP_parameter array_sum,Valid,8.6528159242,Valid,0.210523780214,Valid,0.425543758273,Valid,0.4080733158,Valid,2.8712259074,Timeout,10.1708076088,Timeout,10.1850648942,13.0,0.0,2.013514,1.0,27.0,74.0,0.0,0.0,1.0,cursor.mlw,0.0,7.0,49.0,WP_parameter array_sum,1.0,1.0,6.0,7.0,4.0,75.0,77.0,3.0,7.0,2.0,0.0,153.0,TestArrayCursor,0.0,61.0,Timeout,10.1215484328,0.0,6.0,30.1708076088,0.425543758273,0.4080733158,2.8712259074,30.1850648942,30.1215484328,0.210523780214,8.6528159242,8.7985174741,7.67270392888,8.91063245198,9.09630394589,8.94427153729,10.3296966263,10.689252068,11.5630728448,cursor:TestArrayCursor:WP_parameter array_sum,Aa3y4zZv,A43yavzZ,Zzvay34A,0.210523780214,Valid,39.13023686,Valid,0.210523780214,Valid,0.210523780214,Valid,7.59320669314
cursor:TestArrayCursor:WP_parameter array_sum_array_to_list,Valid,0.19380581981,Valid,0.161508097138,Timeout,10.1311732842,Timeout,10.2016203256,Valid,1.00018792542,Timeout,10.163387735,Timeout,10.1725380088,2.0,0.0,2.259259,0.0,11.0,27.0,0.0,0.0,0.0,cursor.mlw,0.0,1.0,21.0,WP_parameter array_sum_array_to_list,1.0,0.0,2.0,3.0,2.0,33.0,28.0,1.0,1.0,0.0,0.0,62.0,TestArrayCursor,0.0,30.0,Timeout,10.1173410104,0.0,0.0,30.163387735,30.1311732842,30.2016203256,1.00018792542,30.1725380088,30.1173410104,0.161508097138,0.19380581981,8.3954228536,7.07879057259,6.09437318241,6.94534155522,9.5658322103,8.38440811828,6.05510298537,8.38340152117,cursor:TestArrayCursor:WP_parameter array_sum_array_to_list,Z34Avzay,Aayv3zZ4,4Zz3vyaA,0.161508097138,Valid,51.7862482894,Valid,0.161508097138,Valid,30.6668397157,Valid,13.1483490385
cursor:TestArrayCursor:WP_parameter harness1,Timeout,11.1252867182,Timeout,10.1292345376,Valid,3.17609041744,Valid,0.4271922818,Unknown,3.1985163436,Timeout,10.1609671986,Timeout,10.1553477104,10.0,0.0,2.04878,1.0,18.0,41.0,0.0,0.0,1.0,cursor.mlw,0.0,5.0,24.0,WP_parameter harness1,0.0,0.0,4.0,8.0,2.0,44.0,42.0,1.0,5.0,1.0,0.0,88.0,TestArrayCursor,0.0,32.0,Timeout,10.1374980062,0.0,3.0,30.1609671986,3.17609041744,0.4271922818,13.1985163436,30.1553477104,30.1374980062,30.1292345376,31.1252867182,4.71108850575,3.94343965994,4.00897856987,5.53358492014,7.2400227041,5.21253588106,4.89476960708,7.29428807771,cursor:TestArrayCursor:WP_parameter harness1,A3aZz4yv,43yAvZza,azZvAy34,0.4271922818,Valid,58.082940932,Valid,14.305324955,Valid,13.305324955,Valid,20.1039248545
cursor:TestCursor:WP_parameter sum,Valid,0.217177424071,Valid,0.162862251893,Valid,0.194209358255,Timeout,10.183004417,Valid,0.152965743833,Valid,0.169354802062,Valid,0.1739266884,19.0,0.0,2.050505,0.0,29.0,99.0,4.0,0.0,0.0,cursor.mlw,0.0,9.0,72.0,WP_parameter sum,1.0,1.0,5.0,13.0,3.0,96.0,105.0,2.0,9.0,0.0,0.0,208.0,TestCursor,0.0,81.0,Valid,0.154551762844,0.0,2.0,0.169354802062,0.194209358255,30.183004417,0.152965743833,0.1739266884,0.154551762844,0.162862251893,0.217177424071,11.3991382065,9.87424192435,10.2186752087,11.8875949057,10.3675371744,10.4141152279,10.6053347446,11.3788336987,cursor:TestCursor:WP_parameter sum,A3yzZva4,yvAzZ3a4,4a3ZzAvy,0.152965743833,Valid,10.4001818411,Valid,0.162862251893,Valid,0.162862251893,Valid,1.44788241375
cursor:TestListCursor:WP_parameter list_sum,Valid,0.1687637184,Valid,0.160869906682,Valid,0.165688766306,Valid,0.209915636429,Valid,0.152082673611,Timeout,10.1560090138,Timeout,10.161624689,13.0,0.0,1.859155,1.0,22.0,71.0,0.0,0.0,1.0,cursor.mlw,0.0,7.0,51.0,WP_parameter list_sum,1.0,1.0,5.0,2.0,0.0,61.0,74.0,3.0,7.0,2.0,0.0,136.0,TestListCursor,0.0,52.0,Valid,0.142458867046,0.0,6.0,30.1560090138,0.165688766306,0.209915636429,0.152082673611,30.161624689,0.142458867046,0.160869906682,0.1687637184,7.80708824011,6.6981660327,7.56370844635,7.9398220875,8.79286970768,10.1117929152,10.2161387459,12.1065348289,cursor:TestListCursor:WP_parameter list_sum,A3a4yzZv,vyA3a4zZ,Zz4a3Ayv,0.142458867046,Valid,20.5275493392,Valid,0.160869906682,Valid,0.160869906682,Valid,3.06914902848
decrease1:Decrease1:WP_parameter search,Unknown,0.531188237848,Unknown,0.437311551306,Timeout,10.1022164102,Valid,0.21718312649,Valid,0.15447432104,Valid,0.142680658297,Valid,0.145394888054,32.0,0.0,2.06383,0.0,22.0,141.0,0.0,0.0,0.0,decrease1.mlw,0.0,12.0,82.0,WP_parameter search,3.0,0.0,16.0,38.0,1.0,136.0,144.0,3.0,12.0,8.0,2.0,292.0,Decrease1,0.0,98.0,Valid,10.095078004,0.0,0.0,0.142680658297,30.1022164102,0.21718312649,0.15447432104,0.145394888054,10.095078004,10.4373115513,10.5311882378,6.50680407236,5.48211666209,7.09667275407,7.84091300579,7.31206127865,5.78618725777,5.86134109058,9.09448786897,decrease1:Decrease1:WP_parameter search,AzZa3y4v,zZy4vAa3,3aAv4yZz,0.142680658297,Valid,21.1657942034,Valid,1.01730376091,Valid,0.579992209603,Valid,3.99608156614
decrease1:Decrease1:WP_parameter search_rec,Unknown,0.867201336016,Unknown,0.411409808154,Unknown,0.250476237633,Valid,1.0984645526,Timeout,10.0910272814,Valid,0.15907394007,Valid,0.154404564833,52.0,0.0,2.009709,0.0,23.0,206.0,0.0,0.0,0.0,decrease1.mlw,0.0,15.0,117.0,WP_parameter search_rec,3.0,0.0,15.0,37.0,4.0,191.0,209.0,3.0,15.0,12.0,6.0,415.0,Decrease1,0.0,154.0,Valid,0.21928678407,0.0,0.0,0.15907394007,10.2504762376,1.0984645526,30.0910272814,0.154404564833,0.21928678407,10.4114098082,10.867201336,10.2239449802,7.62241826953,10.1930746487,10.2879254307,9.85430889895,8.99487182018,9.0527039308,11.0148196555,decrease1:Decrease1:WP_parameter search_rec,AzZy3a4v,Zzv43Aay,yaA34vzZ,0.154404564833,Valid,12.7185792158,Valid,0.981893556378,Valid,0.570483748224,Valid,2.73183039303
decrease1:Decrease1:decrease1_induction,Unknown,0.162022485625,Unknown,0.162300526449,Timeout,10.1005712326,Timeout,10.1848952876,Unknown,8.96542041289,Unknown,2.5650194787,Unknown,3.41980003473,2.0,0.0,2.0,0.0,9.0,14.0,0.0,0.0,0.0,decrease1.mlw,0.0,2.0,10.0,decrease1_induction,0.0,0.0,2.0,1.0,0.0,13.0,14.0,0.0,2.0,0.0,0.0,29.0,Decrease1,0.0,12.0,Timeout,10.0900982768,0.0,0.0,12.5650194787,30.1005712326,30.1848952876,18.9654204129,13.4198000347,30.0900982768,10.1623005264,10.1620224856,6.58069803924,6.23748311621,5.97076127345,6.52133548746,8.48746822445,7.59047233391,7.32201280662,7.04098492419,decrease1:Decrease1:decrease1_induction,3A4avZzy,aAzZyv34,43vyZzAa,45.6501277354,Unknown,45.6501277354,Timeout,45.8124282618,Timeout,45.6501277354,Timeout,45.6501277354
