,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.3.2,CVC3,CVC4,Yices,Z3-4.4.1,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,best,worst,best time,best result,worst time,worst result,rf time,rf result,rf no time,rf no result
euler001:DivModHints:mod2_mul2_aux,Valid,0.132476565944,Valid,0.131515286731,Valid,0.12140688068,Timeout,10.1607135794,Unknown,0.0825353096,Valid,0.129677120808,Valid,0.1201805716,0.0,0.0,2.25,0.0,6.0,4.0,0.0,0.0,0.0,euler001.mlw,0.0,1.0,4.0,mod2_mul2_aux,0.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,10.0,DivModHints,0.0,2.0,Unknown,0.0833669826,0.0,0.0,0.129677120808,0.12140688068,30.1607135794,10.0825353096,0.1201805716,10.0833669826,0.131515286731,0.132476565944,2.3249435154,2.1228867081,2.92851692369,2.55382404274,8.42632896312,3.64831408805,2.84732508659,6.21588639585,euler001:DivModHints:mod2_mul2_aux,Aa4Z3zvy,Z3zAayv4,4vyaAz3Z,0.1201805716,Valid,10.4590924375,Valid,0.131515286731,Valid,0.131515286731,Valid
bubble_sort:BubbleSort:WP_parameter bubble_sort,Timeout,11.1199166784,Timeout,10.1424247224,Unknown,1.4879065114,Timeout,10.3296257834,Timeout,10.114901377,Valid,2.047256026,Valid,1.962457371,81.0,0.0,2.134752,0.0,42.0,282.0,0.0,0.0,0.0,bubble_sort.mlw,0.0,21.0,166.0,WP_parameter bubble_sort,1.0,0.0,27.0,55.0,8.0,299.0,283.0,1.0,21.0,0.0,0.0,603.0,BubbleSort,0.0,244.0,Timeout,10.1121706158,0.0,0.0,2.047256026,11.4879065114,30.3296257834,30.114901377,1.962457371,30.1121706158,30.1424247224,31.1199166784,13.2606933513,9.32009543463,12.2926201851,13.4030084004,13.4375262371,9.30262907315,9.53189921405,12.9010002981,bubble_sort:BubbleSort:WP_parameter bubble_sort,zAZ3va4y,Zz3vyA4a,a4Ayv3zZ,1.962457371,Valid,55.3542017144,Valid,3.047256026,Valid,2.047256026,Valid
random_access_list:RandomAccessList:WP_parameter length_flatten,Unknown,0.16632421181,Unknown,0.1768830282,Valid,0.142099055129,Valid,0.20045454951,Valid,0.13363384512,Timeout,10.1241198502,Timeout,10.1291437028,1.0,0.0,1.652174,2.0,8.0,23.0,0.0,0.0,1.0,random_access_list.mlw,0.0,1.0,21.0,WP_parameter length_flatten,0.0,0.0,1.0,3.0,0.0,21.0,25.0,2.0,1.0,0.0,0.0,45.0,RandomAccessList,0.0,12.0,Timeout,10.0998097842,3.0,2.0,30.1241198502,0.142099055129,0.20045454951,0.13363384512,30.1291437028,30.0998097842,10.1768830282,10.1663242118,3.77250931166,2.94115386368,4.34768496436,4.58261130888,4.21657847386,8.16091361352,8.25192661213,11.6727865084,random_access_list:RandomAccessList:WP_parameter length_flatten,Aay34zZv,y34aAvzZ,ZzvAa43y,0.13363384512,Valid,30.8967351267,Valid,0.65372411333,Valid,0.47684108513,Valid
braun_trees:BraunHeaps:WP_parameter remove_min,Valid,0.181971723765,Valid,0.165482814109,Valid,0.151548271808,Valid,0.165049830857,Valid,0.123780140105,Valid,1.9507385416,Valid,1.95658645529,15.0,0.0,1.707692,1.0,16.0,65.0,0.0,0.0,1.0,braun_trees.mlw,0.0,4.0,46.0,WP_parameter remove_min,0.0,0.0,3.0,4.0,0.0,46.0,66.0,1.0,4.0,1.0,0.0,115.0,BraunHeaps,0.0,39.0,Valid,0.1038904498,1.0,1.0,1.9507385416,0.151548271808,0.165049830857,0.123780140105,1.95658645529,0.1038904498,0.165482814109,0.181971723765,7.22207144264,5.9860788617,6.96102630647,7.45054457863,7.5829627828,9.6920720649,9.88916351543,11.0480724473,braun_trees:BraunHeaps:WP_parameter remove_min,A3a4yzZv,vy34AazZ,ZzaA43yv,0.1038904498,Valid,1.95658645529,Valid,0.165482814109,Valid,0.165482814109,Valid
bitvector_examples:Hackers_delight:DM6,Timeout,11.1288728348,Timeout,10.1709792334,Unknown,0.583239332571,Valid,0.1675095605,Unknown,0.327958205636,Failure,5.441744018,Timeout,10.1298110842,0.0,0.0,1.8,0.0,5.0,5.0,0.0,0.0,0.0,bitvector_examples.mlw,0.0,1.0,5.0,DM6,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,10.0,Hackers_delight,0.0,4.0,Unknown,0.173525540171,0.0,0.0,25.441744018,10.5832393326,0.1675095605,10.3279582056,30.1298110842,10.1735255402,30.1709792334,31.1288728348,13.2393346607,12.5699842624,11.8371295041,0.914237421146,10.1282412398,11.0830343438,9.83807930231,9.35435497164,bitvector_examples:Hackers_delight:DM6,4vZyz3Aa,4vy3zZAa,aAZz3yv4,0.1675095605,Valid,38.1236398093,Valid,1.1675095605,Valid,0.1675095605,Valid
random_access_list:RandomAccessListWithSeq:WP_parameter update,Valid,0.146831579823,Valid,0.149882404531,Unknown,2.0527014528,Valid,0.191227233179,Timeout,10.110607992,Timeout,10.1316596994,Timeout,10.1265786108,3.0,0.0,1.772727,0.0,9.0,22.0,0.0,0.0,0.0,random_access_list.mlw,0.0,2.0,17.0,WP_parameter update,0.0,0.0,2.0,2.0,0.0,16.0,22.0,0.0,2.0,0.0,0.0,40.0,RandomAccessListWithSeq,0.0,14.0,Unknown,0.12872604953,0.0,0.0,30.1316596994,12.0527014528,0.191227233179,30.110607992,30.1265786108,10.1287260495,0.149882404531,0.146831579823,4.98623612568,4.37321510884,4.75899752659,4.99884736588,7.25309573562,6.11633165056,5.76555490025,5.74095328899,random_access_list:RandomAccessListWithSeq:WP_parameter update,A3a4vZzy,aA4v3yZz,zZy3v4Aa,0.146831579823,Valid,32.7415010377,Valid,0.149882404531,Valid,0.149882404531,Valid
verifythis_fm2012_LRS:SuffixSort:WP_parameter compare,Valid,0.403540824397,Valid,0.183840205381,Unknown,0.184270972557,Timeout,10.1718440932,Timeout,10.128445642,Unknown,0.352910015103,Unknown,0.358770956378,26.0,0.0,2.236842,0.0,24.0,114.0,0.0,0.0,1.0,verifythis_fm2012_LRS.mlw,0.0,2.0,65.0,WP_parameter compare,5.0,0.0,16.0,33.0,7.0,135.0,119.0,5.0,2.0,0.0,0.0,256.0,SuffixSort,0.0,101.0,Timeout,10.1354454752,0.0,0.0,10.3529100151,10.1842709726,30.1718440932,30.128445642,10.3587709564,30.1354454752,0.183840205381,0.403540824397,12.4309053374,9.73042197637,10.8566888962,12.2800739471,11.3736355706,11.6098425432,12.4126887136,11.7177638437,verifythis_fm2012_LRS:SuffixSort:WP_parameter compare,A3yzv4Za,Aa3zZyv4,4vyZz3aA,0.183840205381,Valid,31.7352279788,Valid,0.183840205381,Valid,0.183840205381,Valid
register_allocation:InfinityOfRegisters:WP_parameter recover,Valid,0.158445644083,Valid,0.15606878808,Valid,0.189839553904,Valid,0.278438039735,Valid,0.295840605233,Valid,0.193769698667,Valid,0.189116874625,4.0,0.0,1.793103,0.0,13.0,29.0,0.0,0.0,0.0,register_allocation.mlw,0.0,3.0,22.0,WP_parameter recover,0.0,0.0,2.0,0.0,1.0,21.0,29.0,0.0,3.0,0.0,0.0,53.0,InfinityOfRegisters,0.0,21.0,Valid,0.16212986469,0.0,0.0,0.193769698667,0.189839553904,0.278438039735,0.295840605233,0.189116874625,0.16212986469,0.15606878808,0.158445644083,6.8399837074,5.83392349157,5.66093461021,3.68314789372,8.37979315736,6.54270255467,5.04982942036,7.44153408534,register_allocation:InfinityOfRegisters:WP_parameter recover,4Z3Azavy,AavZ3z4y,y4z3ZvaA,0.15606878808,Valid,0.295840605233,Valid,0.15606878808,Valid,0.278438039735,Valid
vstte12_tree_reconstruction:ZipperBasedTermination:WP_parameter tc,Valid,0.2154211278,Valid,0.227298954577,Valid,0.2059189974,Valid,0.214610017167,Valid,0.126363505273,Timeout,10.1467851156,Timeout,10.0314494332,15.0,0.0,1.666667,8.0,14.0,168.0,0.0,0.0,0.0,vstte12_tree_reconstruction.mlw,0.0,1.0,143.0,WP_parameter tc,2.0,0.0,0.0,12.0,5.0,127.0,178.0,10.0,1.0,0.0,5.0,301.0,ZipperBasedTermination,2.0,107.0,Valid,0.123995772,1.0,5.0,30.1467851156,0.2059189974,0.214610017167,0.126363505273,30.0314494332,0.123995772,0.227298954577,0.2154211278,12.7914691275,9.444418352,11.5675186524,13.3165049341,12.4124562366,12.0825486703,12.3486151102,12.3360442089,vstte12_tree_reconstruction:ZipperBasedTermination:WP_parameter tc,A3zvZya4,vy34aAZz,zZAa43yv,0.123995772,Valid,20.4055335034,Valid,0.227298954577,Valid,0.227298954577,Valid
vstte12_ring_buffer:RingBuffer:WP_parameter head,Unknown,0.206514915737,Unknown,0.24747739887,Timeout,10.1564834588,Timeout,10.1953073458,Failure,7.4924514192,Timeout,10.1901689874,Timeout,10.1773723452,11.0,0.0,1.978723,1.0,17.0,47.0,0.0,0.0,1.0,vstte12_ring_buffer.mlw,0.0,2.0,32.0,WP_parameter head,0.0,0.0,4.0,7.0,0.0,48.0,48.0,1.0,2.0,0.0,0.0,97.0,RingBuffer,0.0,38.0,Timeout,10.1579377426,1.0,1.0,30.1901689874,30.1564834588,30.1953073458,27.4924514192,30.1773723452,30.1579377426,10.2474773989,10.2065149157,4.6986173585,3.85865016633,4.6654867324,6.36665268498,5.99337295078,5.43350264161,5.28175980725,8.17719142335,vstte12_ring_buffer:RingBuffer:WP_parameter head,A3aZzy4v,aAy3vZz4,4zZv3yAa,58.8237136136,Unknown,58.8237136136,Timeout,59.0711910125,Unknown,58.8237136136,Unknown
